date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:17	1830/1830	---MCZ	200	added ('OK')	text/plain	date:Thu,%2001%20Mar%202018%2018:00:00%20GMT	https://www.google.de/robots.txt		(from )
12:01:17	39666/39666	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Mar%202018%2010:01:17%20GMT	https://www.google.de/	/home/benjamin/websites/google/www.google.de/index.html	(from )
12:01:17	5430/5430	---MCZ	200	added ('OK')	image/x-icon	date:Thu,%2008%20Dec%202016%2001:00:57%20GMT	https://www.google.de/images/branding/product/ico/googleg_lodp.ico	/home/benjamin/websites/google/www.google.de/images/branding/product/ico/googleg_lodp.ico	(from https://www.google.de/)
12:01:18	39682/39682	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Mar%202018%2010:01:18%20GMT	https://www.google.de/webhp?tab=ww	/home/benjamin/websites/google/www.google.de/webhp3d1f.html	(from https://www.google.de/)
12:01:18	39205/39205	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Mar%202018%2010:01:18%20GMT	https://www.google.de/imghp?hl=de&tab=wi	/home/benjamin/websites/google/www.google.de/imghp8095.html	(from https://www.google.de/)
12:01:19	236/236	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Mar%202018%2010:01:18%20GMT	http://www.google.de/preferences?hl=de	/home/benjamin/websites/google/www.google.de/preferences.40016.delayed	(from https://www.google.de/)
12:01:19	61981/61981	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Mar%202018%2010:01:18%20GMT	http://www.google.de/shopping?hl=de&tab=wf	/home/benjamin/websites/google/www.google.de/shoppingea3b.html	(from https://www.google.de/)
12:01:19	7561/7561	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Mar%202018%2010:01:19%20GMT	http://www.google.de/history/optout?hl=de	/home/benjamin/websites/google/www.google.de/history/optout0016.html	(from https://www.google.de/)
12:01:20	72710/72710	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Mar%202018%2010:01:19%20GMT	https://www.google.de/preferences?hl=de	/home/benjamin/websites/google/www.google.de/preferences0016.html	(from https://www.google.de/)
12:01:20	242/242	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Mar%202018%2017:39:48%20GMT	https://www.google.de/intl/de/options/	/home/benjamin/websites/google/www.google.de/intl/de/options/index.html	(from https://www.google.de/)
